date,symbol,industry,entry,rulesPassed,score,ret5,ret10,ret20,maxRunup10,maxDrawdown10,win10
2026-08-15,AGNCM,Real Estate,25.24,7,38.25,0,-0.32,0.64,0.12,-0.42,false
2026-08-15,OGN,Health Care,13.72,7,30.25,0.15,0.29,-0.62,0.33,-0.29,true
2026-08-15,MFAN,Real Estate,25.1,4,23.33,0.16,0.72,0.48,0.72,0,true
2026-08-17,AGNCM,Real Estate,25.24,7,38.25,0.04,-0.59,0.93,0.12,-0.59,false
2026-08-17,OGN,Health Care,13.72,7,30.25,0.22,0.26,-0.58,0.33,-0.29,true
2026-08-17,MFAN,Real Estate,25.1,4,23.33,0.44,0.3,0.28,0.72,0,true
2026-08-18,AGNCM,Real Estate,25.14,7,36.25,0.54,0.42,1.13,0.54,-0.18,true
2026-08-18,OGN,Health Care,13.7,7,28.25,0.36,0.51,-0.18,0.51,-0.15,true
2026-08-18,MFAN,Real Estate,25.1,4,21.33,0.36,0.8,0.28,0.8,0.16,true
2026-08-19,AGNCM,Real Estate,25.24,7,36.25,0.12,-0.2,0.87,0.12,-0.6,false
2026-08-19,OGN,Health Care,13.68,7,28.25,0.51,0.62,0,0.66,0.37,true
2026-08-19,AES,Utilities,14.74,7,25.66,-0.07,0.14,0.44,0.2,-0.27,true
2026-08-19,MFAN,Real Estate,25.16,4,21.33,0,0.56,-0.04,0.56,-0.08,true
2026-08-20,OGN,Health Care,13.73,7,28.25,0.25,0.33,-0.44,0.33,0.07,true
2026-08-20,AES,Utilities,14.7,7,25.66,0.17,0.82,0.75,0.82,0.17,true
2026-08-20,MFAN,Real Estate,25.18,4,21.33,0.3,0.48,0,0.48,-0.16,true
2026-08-21,AGNCM,Real Estate,25.24,7,38.38,-0.32,-0.03,,0.12,-0.59,false
2026-08-21,ELC,Utilities,19.78,4,30.87,0.1,-1.72,,0.96,-1.72,false
2026-08-21,OGN,Health Care,13.74,7,28.25,0.15,0.25,,0.25,0.07,true
2026-08-21,DBRG,Real Estate,15.91,7,24,0.13,0.25,,0.44,0.03,true
2026-08-21,RAMP,Technology,37.65,7,21.26,0.24,0.28,,0.4,-0.19,true
2026-08-24,AGNCM,Real Estate,25.25,7,36.38,-0.63,0.1,,0.1,-0.63,true
2026-08-24,ELC,Utilities,19.68,4,30.87,-0.72,-1.33,,1.47,-1.33,false
2026-08-24,HCXY,Finance,24.95,4,26.39,0.36,0.28,,0.92,-0.35,true
2026-08-24,OGN,Health Care,13.75,7,26.25,0.04,0.22,,0.22,0,true
2026-08-24,MFAN,Real Estate,25.21,7,24.25,-0.14,0.36,,0.56,-0.2,true
2026-08-24,RAMP,Technology,37.58,7,21.26,0.48,0.45,,0.59,0.13,true
2026-08-25,AGNCM,Real Estate,25.27,7,36.38,-0.12,0.02,,0.02,-0.71,true
2026-08-25,HCXY,Finance,24.86,4,26.39,0.23,0.63,,1.27,0.23,true
2026-08-25,OGN,Health Care,13.75,7,26.25,0.15,0.18,,0.22,0,true
2026-08-25,RAMP,Technology,37.63,7,21.62,0.33,0.24,,0.45,0.24,true
2026-08-26,AGNCM,Real Estate,25.27,7,36.38,-0.32,-0.36,,0.02,-0.72,false
2026-08-26,ONBPP,Finance,24.89,4,29.41,-0.16,0.44,,0.44,-0.36,true
2026-08-26,OGN,Health Care,13.75,7,26.25,0.11,-0.04,,0.22,-0.04,false
2026-08-26,RAMP,Technology,37.72,7,21.62,0.07,0.04,,0.21,0,true
2026-08-27,PEN,Health Care,321.83,4,32.69,0.29,-0.91,,0.64,-0.91,false
2026-08-27,ONBPP,Finance,24.91,4,29.41,0.09,-0.04,,0.37,-0.44,false
2026-08-27,OGN,Health Care,13.77,7,26.25,0.07,-0.8,,0.11,-0.8,false
2026-08-27,RAMP,Technology,37.78,7,21.62,0.05,-0.01,,0.05,-0.16,false
2026-08-28,PEN,Health Care,321.68,4,32.69,0.1,-1.08,,0.69,-1.08,false
2026-08-28,ONBPP,Finance,24.94,4,29.41,0.05,0.19,,0.25,-0.56,true
